timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1504195894.373005,0.009751,0.318684,-0.169339,0.100239,-0.088315,-0.009618,0.009260,-0.313317,-0.949603,-0.005155,-0.004524,-0.020321,12.725252,-1.113843,-30.126678,,,,,,,
1504195894.383014,0.009576,0.319388,-0.169332,0.060388,0.006838,0.004022,0.009092,-0.313986,-0.949384,-0.012098,-0.004862,-0.019793,12.649492,-1.038434,-30.502441,,,,,,,
1504195894.393024,0.010222,0.319774,-0.169227,0.033251,0.086974,0.011305,0.009703,-0.314352,-0.949257,-0.015380,-0.005488,-0.011543,12.649492,-1.038434,-30.502441,,,,,,,
1504195894.403034,0.011487,0.319972,-0.169106,0.015590,0.142569,0.012229,0.010904,-0.314540,-0.949181,-0.014917,-0.003544,-0.008445,12.724001,-0.887952,-30.578400,,,,,,,
1504195894.413044,0.012711,0.320002,-0.168888,0.005020,0.155418,0.012197,0.012065,-0.314568,-0.949158,-0.010341,-0.001777,-0.009155,12.724001,-0.887952,-30.578400,,,,,,,
1504195894.423053,0.014110,0.320037,-0.168748,0.003803,0.137312,0.013294,0.013393,-0.314602,-0.949129,-0.004024,-0.003636,-0.008222,12.800432,-1.412763,-30.499237,,,,,,,
1504195894.433063,0.015122,0.320080,-0.168597,0.005585,0.094671,0.015508,0.014354,-0.314642,-0.949102,0.005361,-0.004632,-0.004557,12.800432,-1.412763,-30.499237,,,,,,,
1504195894.443073,0.015627,0.320210,-0.168446,0.015850,0.043439,0.014548,0.014832,-0.314766,-0.949054,0.012252,-0.006600,-0.000058,12.649981,-1.188581,-30.426300,,,,,,,
1504195894.453083,0.016269,0.320727,-0.168509,0.038979,-0.003582,0.011450,0.015439,-0.315257,-0.948881,0.018222,-0.004049,0.005262,12.649981,-1.188581,-30.426300,,,,,,,
1504195894.463062,0.015889,0.321196,-0.168435,0.049359,-0.043090,0.006201,0.015076,-0.315702,-0.948739,0.021637,-0.002124,0.014504,13.024904,-1.112058,-30.350952,,,,,,,
1504195894.473072,0.016055,0.321953,-0.168637,0.063172,-0.054858,0.001953,0.015229,-0.316420,-0.948497,0.021987,-0.000337,0.014018,13.024904,-1.112058,-30.350952,,,,,,,
1504195894.483082,0.016197,0.322735,-0.168880,0.083597,-0.041115,-0.006593,0.015360,-0.317162,-0.948247,0.018225,0.003884,0.010076,12.575396,-1.264218,-30.275940,,,,,,,
1504195894.493091,0.016316,0.323620,-0.169143,0.099804,-0.020963,-0.016219,0.015469,-0.318000,-0.947964,0.010349,0.007362,0.011914,12.575396,-1.264218,-30.275940,,,,,,,
1504195894.503101,0.016505,0.324662,-0.169462,0.103176,-0.004983,-0.024786,0.015642,-0.318989,-0.947629,0.005476,0.004642,0.011625,12.650286,-1.263730,-30.350739,,,,,,,
1504195894.513111,0.016782,0.325648,-0.169848,0.087339,0.009020,-0.034448,0.015899,-0.319923,-0.947310,0.003098,0.003211,0.014235,12.650286,-1.263730,-30.350739,,,,,,,
1504195894.523121,0.017156,0.326486,-0.170252,0.072503,0.020871,-0.034496,0.016249,-0.320716,-0.947036,0.002321,0.000907,0.008758,12.799761,-0.963361,-30.202637,,,,,,,
1504195894.533130,0.017574,0.327258,-0.170634,0.071506,0.029406,-0.033446,0.016640,-0.321448,-0.946781,0.000541,0.000632,0.007313,12.799761,-0.963361,-30.202637,,,,,,,
